discrete_ta,discrete_sal
2150.9,31.8539
2169.6,31.8539
2162.2,31.8548
2167,31.8548
2168.8,31.8462
2148.5,31.8462
2156.7,31.8602
2161.5,31.8602
2182.2,32.1888
2180.3,32.1888
2234.2,33.2001
2244.9,33.2001
2127.2,29.2045
2134,29.2045
2127.9,29.7205
2137.2,29.7205
2133.6,30.3892
2122.1,30.3892
2181.8,31.645
2171,31.645
2255.8,33.485
2245.2,33.485
2260.6,33.4871
2262.5,33.4871
