date,sample_number,depth,temperature,discrete_sal,ph,discrete_ta,source,comments,season
5/27/21,210527-RU28,2.544,15.754,32.043,7.7621,2173.2,ru,,spring
5/27/21,210527-RU29,6.124,14.202,32.31,7.736,2190.3,ru,,spring
5/27/21,210527-RU30,9.565,12.013,32.486,7.7116,2207.3,ru,,spring
5/27/21,210527-RU31,12.121,11.462,32.561,7.7258,2214.2,ru,,spring
5/27/21,210527-RU32,14.875,11.384,32.586,7.7185,2204.3,ru,,spring
7/16/21,210716-RU56,0.597,24.857,28.954,8.0977,2013.4,ru,,summer
7/16/21,210716-RU55,3.381,24.337,29.015,8.0941,1909.4,ru,,summer
7/16/21,210716-RU33,11.454,17.939,31.325,7.7781,2109.85,ru,,summer
7/16/21,210716-RU62,0.853,24.658,29.006,8.0958,2017.6,ru,,summer
7/16/21,210716-RU61,4.118,24.189,29.271,8.0756,2036.45,ru,,summer
7/16/21,210716-RU60,6.107,23.028,31.301,7.9561,2124.7,ru,,summer
7/16/21,210716-RU59,7.708,19.826,31.439,7.9194,2134.433333,ru,,summer
8/20/21,210820-RU68,0.213,24.8885,30.8079,7.8998,2094.8,ru,,summer
8/20/21,210820-RU67,4.694,24.8687,30.8879,7.9104,2102.35,ru,,summer
8/20/21,210820-RU66,8.183,24.6223,31.0296,7.8957,2113.066667,ru,,summer
8/20/21,210820-RU65,10.702,20.3765,31.5029,7.8034,2129.5,ru,,summer
8/20/21,210820-RU63,15.467,15.0873,31.9901,7.6662,2161.2,ru,,summer
8/20/21,210820-RU74,0.784,24.8728,30.8197,7.9131,2096.9,ru,,summer
8/20/21,210820-RU73,4.752,24.8708,30.9489,7.9093,2106.6,ru,,summer
8/20/21,210820-RU72,7.255,24.6233,31.0095,7.9126,2109.6,ru,,summer
8/20/21,210820-RU71,10.643,21.4919,31.2371,7.8078,2121.75,ru,,summer
8/20/21,210820-RU70,12.991,15.2018,31.9933,7.6465,2153.5,ru,,summer
8/20/21,210820-RU69,15.499,14.85,32.0065,7.6547,2164.65,ru,,summer
10/20/21,211020-RU78,0,18.9843,31.8075,7.8633,2178.2,ru,,fall
10/20/21,211020-RU92,0,18.9843,31.8075,7.8777,2160.7,ru,,fall
11/17/21,211117-RU93,0,13.0511,31.5511,7.7816,2162.4,ru,,fall
11/17/21,211117-RU94,0,13.0511,31.5511,7.7984,2172.3,ru,,fall
4/20/22,220420-RU95,21.452,7.2629,33.0265,7.833284107,2214.56026,ru,,spring
